geth-1.15  | 2025-06-03T07:48:53.257826637Z ERROR[06-03|07:48:53.257] Head block is not reachable
funder-1   | 2025-06-03T07:48:53.090801060Z Error: error sending request for url (http://eth-node:8545/)
bundler-1  | 2025-06-03T07:48:58.749209518Z {"level":"DEBUG","time":1748936938746,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1  | 2025-06-03T07:48:58.749220949Z {"level":"DEBUG","time":1748936938747,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1  | 2025-06-03T07:48:58.749226579Z {"level":"DEBUG","time":1748936938748,"pid":1,"hostname":"5193f7b95676","sender":"0x80D0B8AABe58cD9432044BD2231A56cb346f0EbF","nonce":"0x0","userOpHash":"0x0a4a02f6ca327cf64811ec4c04b450309e8aa5dca3cf033f075b4cabfebafd90","status":"pending","is7702":false,"msg":"Successfully added/updated UserOperation to mempool"}
bundler-1  | 2025-06-03T07:48:58.749232901Z {"level":"DEBUG","time":1748936938748,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(2)"}
bundler-1  | 2025-06-03T07:48:58.751823387Z {"level":"DEBUG","time":1748936938751,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(3)"}
bundler-1  | 2025-06-03T07:48:58.752460016Z {"level":"DEBUG","time":1748936938752,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(3)"}
bundler-1  | 2025-06-03T07:48:58.754578687Z {"level":"DEBUG","time":1748936938754,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(4)"}
bundler-1  | 2025-06-03T07:48:58.758051513Z {"level":"DEBUG","time":1748936938754,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1  | 2025-06-03T07:48:58.758064247Z {"level":"DEBUG","time":1748936938755,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1  | 2025-06-03T07:48:58.758068525Z {"level":"DEBUG","time":1748936938755,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1  | 2025-06-03T07:48:58.758071340Z {"level":"DEBUG","time":1748936938755,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1  | 2025-06-03T07:48:58.789661844Z {"level":"DEBUG","time":1748936938789,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1  | 2025-06-03T07:48:58.806834889Z {"level":"DEBUG","time":1748936938806,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1  | 2025-06-03T07:48:58.807661704Z {"level":"DEBUG","time":1748936938806,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1  | 2025-06-03T07:48:58.807670080Z {"level":"DEBUG","time":1748936938807,"pid":1,"hostname":"5193f7b95676","msg":"Old entry found, checking if needs replacement..."}
bundler-1  | 2025-06-03T07:48:58.807675109Z {"level":"DEBUG","time":1748936938807,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1  | 2025-06-03T07:48:58.807679457Z {"level":"ERROR","time":1748936938807,"pid":1,"hostname":"5193f7b95676","error":"Replacement UserOperation must have higher maxFeePerGas (old=5000000000 new=5000000000) ","msg":"<--- Error handling method requestId(4)"}
bundler-1  | 2025-06-03T07:48:58.809800232Z {"level":"DEBUG","time":1748936938809,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(5)"}
bundler-1  | 2025-06-03T07:48:58.810243280Z {"level":"DEBUG","time":1748936938809,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(5)"}
bundler-1  | 2025-06-03T07:48:58.813308749Z {"level":"DEBUG","time":1748936938813,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_clearState with requestId(6)"}
bundler-1  | 2025-06-03T07:48:58.813714254Z {"level":"DEBUG","time":1748936938813,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(6)"}
bundler-1  | 2025-06-03T07:48:58.816383535Z {"level":"DEBUG","time":1748936938816,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_setBundlingMode with requestId(7)"}
bundler-1  | 2025-06-03T07:48:58.817212760Z {"level":"INFO","time":1748936938816,"pid":1,"hostname":"5193f7b95676","mode":"manual","msg":"Set bundling mode"}
bundler-1  | 2025-06-03T07:48:58.817224191Z {"level":"DEBUG","time":1748936938816,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(7)"}
bundler-1  | 2025-06-03T07:48:58.876618105Z {"level":"DEBUG","time":1748936938876,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(8)"}
bundler-1  | 2025-06-03T07:48:58.879762994Z {"level":"DEBUG","time":1748936938876,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1  | 2025-06-03T07:48:58.879773854Z {"level":"DEBUG","time":1748936938877,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1  | 2025-06-03T07:48:58.879777541Z {"level":"DEBUG","time":1748936938878,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1  | 2025-06-03T07:48:58.879780136Z {"level":"DEBUG","time":1748936938878,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1  | 2025-06-03T07:48:58.910738020Z {"level":"DEBUG","time":1748936938910,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1  | 2025-06-03T07:48:58.927123536Z {"level":"DEBUG","time":1748936938927,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1  | 2025-06-03T07:48:58.927859489Z {"level":"DEBUG","time":1748936938927,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1  | 2025-06-03T07:48:58.927870710Z {"level":"DEBUG","time":1748936938927,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1  | 2025-06-03T07:48:58.927877212Z {"level":"DEBUG","time":1748936938927,"pid":1,"hostname":"5193f7b95676","sender":"0x9A14e56D7A549C44C7263Dbc96fD4e2c77500aB6","nonce":"0x0","userOpHash":"0x7463a76eae37f9d35e492be914c7cc8e3d52222c6aa3c0e0c0f9f51dc4240c0c","status":"pending","is7702":false,"msg":"Successfully added/updated UserOperation to mempool"}
bundler-1  | 2025-06-03T07:48:58.927903441Z {"level":"DEBUG","time":1748936938927,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(8)"}
bundler-1         | 2025-06-03T07:48:58.929954154Z {"level":"DEBUG","time":1748936938929,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(9)"}
bundler-1         | 2025-06-03T07:48:58.930348542Z {"level":"DEBUG","time":1748936938929,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(9)"}
bundler-1         | 2025-06-03T07:48:58.932309868Z {"level":"DEBUG","time":1748936938932,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(10)"}
bundler-1         | 2025-06-03T07:48:58.934805364Z {"level":"DEBUG","time":1748936938932,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1         | 2025-06-03T07:48:58.934816445Z {"level":"DEBUG","time":1748936938933,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1         | 2025-06-03T07:48:58.934820131Z {"level":"DEBUG","time":1748936938933,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1         | 2025-06-03T07:48:58.934822726Z {"level":"DEBUG","time":1748936938933,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2025-06-03T07:48:58.968144539Z {"level":"DEBUG","time":1748936938968,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1         | 2025-06-03T07:48:58.975381456Z {"level":"DEBUG","time":1748936938975,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1         | 2025-06-03T07:48:58.976005435Z {"level":"DEBUG","time":1748936938975,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:58.976017007Z {"level":"DEBUG","time":1748936938975,"pid":1,"hostname":"5193f7b95676","msg":"Old entry found, checking if needs replacement..."}
bundler-1         | 2025-06-03T07:48:58.976022096Z {"level":"DEBUG","time":1748936938975,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1         | 2025-06-03T07:48:58.976026104Z {"level":"ERROR","time":1748936938975,"pid":1,"hostname":"5193f7b95676","error":"Replacement UserOperation must have higher maxPriorityFeePerGas (old=1000000000 new=1000000000) ","msg":"<--- Error handling method requestId(10)"}
bundler-1         | 2025-06-03T07:48:58.978174515Z {"level":"DEBUG","time":1748936938978,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(11)"}
bundler-1         | 2025-06-03T07:48:58.979185222Z {"level":"DEBUG","time":1748936938978,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(11)"}
bundler-1         | 2025-06-03T07:48:58.982583660Z {"level":"DEBUG","time":1748936938982,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_clearState with requestId(12)"}
bundler-1         | 2025-06-03T07:48:58.983117328Z {"level":"DEBUG","time":1748936938982,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(12)"}
bundler-1         | 2025-06-03T07:48:58.985115200Z {"level":"DEBUG","time":1748936938985,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_setBundlingMode with requestId(13)"}
bundler-1         | 2025-06-03T07:48:58.985466268Z {"level":"INFO","time":1748936938985,"pid":1,"hostname":"5193f7b95676","mode":"manual","msg":"Set bundling mode"}
bundler-1         | 2025-06-03T07:48:58.985474794Z {"level":"DEBUG","time":1748936938985,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(13)"}
bundler-1         | 2025-06-03T07:48:59.023602058Z {"level":"DEBUG","time":1748936939023,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(14)"}
bundler-1         | 2025-06-03T07:48:59.025955218Z {"level":"DEBUG","time":1748936939023,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1         | 2025-06-03T07:48:59.025964796Z {"level":"DEBUG","time":1748936939024,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1         | 2025-06-03T07:48:59.025968262Z {"level":"DEBUG","time":1748936939024,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1         | 2025-06-03T07:48:59.025970807Z {"level":"DEBUG","time":1748936939024,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2025-06-03T07:48:59.054145621Z {"level":"DEBUG","time":1748936939054,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1         | 2025-06-03T07:48:59.070093673Z {"level":"DEBUG","time":1748936939069,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1         | 2025-06-03T07:48:59.070754414Z {"level":"DEBUG","time":1748936939070,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.070766707Z {"level":"DEBUG","time":1748936939070,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1         | 2025-06-03T07:48:59.070771786Z {"level":"DEBUG","time":1748936939070,"pid":1,"hostname":"5193f7b95676","sender":"0xa303fA1cDcCd23b2A37D2405687cf602d59764b8","nonce":"0x0","userOpHash":"0xa97edb01659d1468235a9254ee07be9c1d857fd144ae7ec074d137fc5a594a1a","status":"pending","is7702":false,"msg":"Successfully added/updated UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.070777858Z {"level":"DEBUG","time":1748936939070,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(14)"}
bundler-waiter-1  | 2025-06-03T07:48:56.375212495Z "0x539"
bundler-1         | 2025-06-03T07:48:59.073010653Z {"level":"DEBUG","time":1748936939072,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(15)"}
bundler-1         | 2025-06-03T07:48:59.073375168Z {"level":"DEBUG","time":1748936939073,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(15)"}
bundler-1         | 2025-06-03T07:48:59.075185971Z {"level":"DEBUG","time":1748936939075,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(16)"}
bundler-1         | 2025-06-03T07:48:59.077326855Z {"level":"DEBUG","time":1748936939075,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1         | 2025-06-03T07:48:59.077335231Z {"level":"DEBUG","time":1748936939076,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1         | 2025-06-03T07:48:59.077338457Z {"level":"DEBUG","time":1748936939076,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1         | 2025-06-03T07:48:59.077340952Z {"level":"DEBUG","time":1748936939076,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2025-06-03T07:48:59.106521309Z {"level":"DEBUG","time":1748936939106,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1         | 2025-06-03T07:48:59.122015152Z {"level":"DEBUG","time":1748936939121,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1         | 2025-06-03T07:48:59.122407544Z {"level":"DEBUG","time":1748936939121,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.122420938Z {"level":"DEBUG","time":1748936939122,"pid":1,"hostname":"5193f7b95676","msg":"Old entry found, checking if needs replacement..."}
bundler-1         | 2025-06-03T07:48:59.122425978Z {"level":"DEBUG","time":1748936939122,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1         | 2025-06-03T07:48:59.122430266Z {"level":"ERROR","time":1748936939122,"pid":1,"hostname":"5193f7b95676","error":"Replacement UserOperation must have higher maxPriorityFeePerGas (old=1000000000 new=1000000000) ","msg":"<--- Error handling method requestId(16)"}
bundler-1         | 2025-06-03T07:48:59.124222027Z {"level":"DEBUG","time":1748936939124,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(17)"}
bundler-1         | 2025-06-03T07:48:59.124576844Z {"level":"DEBUG","time":1748936939124,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(17)"}
deployer-1        | 2025-06-03T07:48:53.784549490Z Deploying entrypoint at 0x4337084d9e255ff0702461cf8895ce9e3b5ff108
deployer-1        | 2025-06-03T07:48:53.840392473Z deploying:
bundler-1         | 2025-06-03T07:48:59.127507135Z {"level":"DEBUG","time":1748936939127,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_clearState with requestId(18)"}
bundler-1         | 2025-06-03T07:48:59.127905214Z {"level":"DEBUG","time":1748936939127,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(18)"}
bundler-1         | 2025-06-03T07:48:59.129610479Z {"level":"DEBUG","time":1748936939129,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_setBundlingMode with requestId(19)"}
bundler-1         | 2025-06-03T07:48:59.129958313Z {"level":"INFO","time":1748936939129,"pid":1,"hostname":"5193f7b95676","mode":"manual","msg":"Set bundling mode"}
bundler-1         | 2025-06-03T07:48:59.129969033Z {"level":"DEBUG","time":1748936939129,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(19)"}
bundler-1         | 2025-06-03T07:48:59.168788209Z {"level":"DEBUG","time":1748936939168,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(20)"}
bundler-1         | 2025-06-03T07:48:59.171116402Z {"level":"DEBUG","time":1748936939168,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1         | 2025-06-03T07:48:59.171128715Z {"level":"DEBUG","time":1748936939169,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1         | 2025-06-03T07:48:59.171132903Z {"level":"DEBUG","time":1748936939169,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1         | 2025-06-03T07:48:59.171135769Z {"level":"DEBUG","time":1748936939169,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2025-06-03T07:48:59.200565281Z {"level":"DEBUG","time":1748936939200,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1         | 2025-06-03T07:48:59.216646269Z {"level":"DEBUG","time":1748936939216,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1         | 2025-06-03T07:48:59.217162598Z {"level":"DEBUG","time":1748936939216,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.217175602Z {"level":"DEBUG","time":1748936939216,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1         | 2025-06-03T07:48:59.217180802Z {"level":"DEBUG","time":1748936939216,"pid":1,"hostname":"5193f7b95676","sender":"0x567A4b3772D1d597580F666E92303b8d85a6cF15","nonce":"0x0","userOpHash":"0xe36db88955fedc254572145dad0201d469fc05be6fb320bc56dd958da36089bd","status":"pending","is7702":false,"msg":"Successfully added/updated UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.217186112Z {"level":"DEBUG","time":1748936939216,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(20)"}
bundler-1         | 2025-06-03T07:48:59.219170839Z {"level":"DEBUG","time":1748936939219,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(21)"}
bundler-1         | 2025-06-03T07:48:59.219536992Z {"level":"DEBUG","time":1748936939219,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(21)"}
bundler-1         | 2025-06-03T07:48:59.221497912Z {"level":"DEBUG","time":1748936939221,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(22)"}
bundler-1         | 2025-06-03T07:48:59.223572182Z {"level":"DEBUG","time":1748936939221,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1         | 2025-06-03T07:48:59.223582171Z {"level":"DEBUG","time":1748936939222,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1         | 2025-06-03T07:48:59.223586649Z {"level":"DEBUG","time":1748936939222,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1         | 2025-06-03T07:48:59.223589755Z {"level":"DEBUG","time":1748936939222,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2025-06-03T07:48:59.253045086Z {"level":"DEBUG","time":1748936939252,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1         | 2025-06-03T07:48:59.270357040Z {"level":"DEBUG","time":1748936939270,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
bundler-1         | 2025-06-03T07:48:59.270830669Z {"level":"DEBUG","time":1748936939270,"pid":1,"hostname":"5193f7b95676","msg":"Attempting to replace/add UserOperation to mempool"}
bundler-1         | 2025-06-03T07:48:59.270843613Z {"level":"DEBUG","time":1748936939270,"pid":1,"hostname":"5193f7b95676","msg":"Old entry found, checking if needs replacement..."}
bundler-1         | 2025-06-03T07:48:59.270848202Z {"level":"DEBUG","time":1748936939270,"pid":1,"hostname":"5193f7b95676","msg":"Reputation and throttling checks passed"}
bundler-1         | 2025-06-03T07:48:59.270851127Z {"level":"ERROR","time":1748936939270,"pid":1,"hostname":"5193f7b95676","error":"Replacement UserOperation must have higher maxPriorityFeePerGas (old=1000000000 new=900000000) ","msg":"<--- Error handling method requestId(22)"}
bundler-1         | 2025-06-03T07:48:59.273159009Z {"level":"DEBUG","time":1748936939273,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_dumpMempool with requestId(23)"}
bundler-1         | 2025-06-03T07:48:59.273502103Z {"level":"DEBUG","time":1748936939273,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(23)"}
bundler-1         | 2025-06-03T07:48:59.276499091Z {"level":"DEBUG","time":1748936939276,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_clearState with requestId(24)"}
bundler-1         | 2025-06-03T07:48:59.276872851Z {"level":"DEBUG","time":1748936939276,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(24)"}
bundler-1         | 2025-06-03T07:48:59.278667636Z {"level":"DEBUG","time":1748936939278,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_setBundlingMode with requestId(25)"}
bundler-1         | 2025-06-03T07:48:59.279005565Z {"level":"INFO","time":1748936939278,"pid":1,"hostname":"5193f7b95676","mode":"manual","msg":"Set bundling mode"}
bundler-1         | 2025-06-03T07:48:59.279017246Z {"level":"DEBUG","time":1748936939278,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(25)"}
bundler-1         | 2025-06-03T07:48:59.317658143Z {"level":"DEBUG","time":1748936939317,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(26)"}
bundler-1         | 2025-06-03T07:48:59.319984113Z {"level":"DEBUG","time":1748936939317,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
