Attaching to bundler-test-executor_bundler-waiter_1, bundler-test-executor_bundler_1, bundler-test-executor_deployer_1, bundler-test-executor_funder_1, geth-1.14
[33mbundler_1         |[0m 2024-07-22T01:09:49.018304515Z (node:1) ExperimentalWarning: Importing JSON modules is an experimental feature and might change at any time
[33mbundler_1         |[0m 2024-07-22T01:10:27.723945292Z {"level":"DEBUG","time":1721610627723,"pid":1,"hostname":"cb713ad26136","msg":"Mempool size: 5"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.723954188Z {"level":"DEBUG","time":1721610627723,"pid":1,"hostname":"cb713ad26136","entryCount":{"0x9873f274199d5cb1681db70d0d04eb5829179aa1":5},"msg":"Mempool entryCount"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.723962364Z {"level":"DEBUG","time":1721610627723,"pid":1,"hostname":"cb713ad26136","msg":"________________________________________________________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.726746975Z {"level":"DEBUG","time":1721610627726,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_dumpMempool","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.727228473Z {"level":"DEBUG","time":1721610627726,"pid":1,"hostname":"cb713ad26136","msg":"_______________________________MEMPOOL DUMP____________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.727243190Z {"level":"DEBUG","time":1721610627726,"pid":1,"hostname":"cb713ad26136","msg":"Mempool size: 5"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.727250915Z {"level":"DEBUG","time":1721610627726,"pid":1,"hostname":"cb713ad26136","entryCount":{"0x9873f274199d5cb1681db70d0d04eb5829179aa1":5},"msg":"Mempool entryCount"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.727267726Z {"level":"DEBUG","time":1721610627726,"pid":1,"hostname":"cb713ad26136","msg":"________________________________________________________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.729507094Z {"level":"DEBUG","time":1721610627729,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_sendBundleNow","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.730235658Z {"level":"DEBUG","time":1721610627729,"pid":1,"hostname":"cb713ad26136","force":true,"msg":"attepting to sendNextBundle"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.730248962Z {"level":"DEBUG","time":1721610627729,"pid":1,"hostname":"cb713ad26136","total":5,"msg":"Attepting to create bundle for entries"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.733930659Z {"level":"DEBUG","time":1721610627733,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885071807Z {"level":"DEBUG","time":1721610627884,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885556144Z {"level":"DEBUG","time":1721610627884,"pid":1,"hostname":"cb713ad26136","sender":"0x9873F274199D5CB1681db70d0D04Eb5829179Aa1","nonce":"0x10000000000000000","index":0,"msg":"adding to bundle"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885570070Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","sender":"0x9873F274199D5CB1681db70d0D04Eb5829179Aa1","nonce":"0x20000000000000000","msg":"skipping already included sender"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885576001Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","sender":"0x9873F274199D5CB1681db70d0D04Eb5829179Aa1","nonce":"0x30000000000000000","msg":"skipping already included sender"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885580840Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","sender":"0x9873F274199D5CB1681db70d0D04Eb5829179Aa1","nonce":"0x40000000000000000","msg":"skipping already included sender"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885585108Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","sender":"0x9873F274199D5CB1681db70d0D04Eb5829179Aa1","nonce":"0x50000000000000000","msg":"skipping already included sender"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885589316Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","total":4,"msg":"Sending UserOps back to mempool with status pending"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.885593474Z {"level":"DEBUG","time":1721610627885,"pid":1,"hostname":"cb713ad26136","length":1,"msg":"bundle created(ready to send)"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.901854764Z {"level":"DEBUG","time":1721610627901,"pid":1,"hostname":"cb713ad26136","ret":"0xdfdc7d5011a3d8f5a11ff1a16db96f96ed188912add745ace7818b9bf675e1e2","length":1,"msg":"eth_sendRawTransaction ret="}
[33mbundler_1         |[0m 2024-07-22T01:10:27.913773120Z {"level":"DEBUG","time":1721610627913,"pid":1,"hostname":"cb713ad26136","lastBlock":193,"events":6,"msg":"Handling past Entrypoint events since last run"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.917422303Z {"level":"DEBUG","time":1721610627917,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_dumpMempool","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.917908846Z {"level":"DEBUG","time":1721610627917,"pid":1,"hostname":"cb713ad26136","msg":"_______________________________MEMPOOL DUMP____________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.917923032Z {"level":"DEBUG","time":1721610627917,"pid":1,"hostname":"cb713ad26136","msg":"Mempool size: 4"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.917931999Z {"level":"DEBUG","time":1721610627917,"pid":1,"hostname":"cb713ad26136","entryCount":{"0x9873f274199d5cb1681db70d0d04eb5829179aa1":5},"msg":"Mempool entryCount"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.917941456Z {"level":"DEBUG","time":1721610627917,"pid":1,"hostname":"cb713ad26136","msg":"________________________________________________________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.928926138Z {"level":"DEBUG","time":1721610627928,"pid":1,"hostname":"cb713ad26136","method":"eth_getUserOperationReceipt","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.941842270Z {"level":"DEBUG","time":1721610627941,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.944347706Z {"level":"DEBUG","time":1721610627944,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_setBundlingMode","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:27.944741065Z {"level":"INFO","time":1721610627944,"pid":1,"hostname":"cb713ad26136","mode":"manual","msg":"Set bundling mode"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.113207008Z {"level":"DEBUG","time":1721610628111,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.115746619Z {"level":"DEBUG","time":1721610628111,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.115764813Z {"level":"DEBUG","time":1721610628111,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.115785251Z {"level":"DEBUG","time":1721610628112,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.270258882Z {"level":"DEBUG","time":1721610628270,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.273627592Z {"level":"DEBUG","time":1721610628273,"pid":1,"hostname":"cb713ad26136","sender":"0x2C262eeff6727E977ae86fD5B4d5C943f3D7c91E","nonce":"0x0","userOpHash":"0x5a98dce21ed503ee71e71db45103560f02b4e63016758d44923228ff53975e87","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.277607327Z {"level":"DEBUG","time":1721610628277,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.281153724Z {"level":"DEBUG","time":1721610628277,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.281171988Z {"level":"DEBUG","time":1721610628277,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.281179542Z {"level":"DEBUG","time":1721610628278,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.446182556Z {"level":"DEBUG","time":1721610628446,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.449318242Z {"level":"DEBUG","time":1721610628449,"pid":1,"hostname":"cb713ad26136","sender":"0x5f96932E143AA9615dA8BaBe37769c2135616dF2","nonce":"0x0","userOpHash":"0xe63d72ec20f2a42d4ef77d2f3ab94edf8034c1d48e4ba22d7a77167115a119ec","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.452761290Z {"level":"DEBUG","time":1721610628452,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_sendBundleNow","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.453274604Z {"level":"DEBUG","time":1721610628452,"pid":1,"hostname":"cb713ad26136","force":true,"msg":"attepting to sendNextBundle"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.453284933Z {"level":"DEBUG","time":1721610628452,"pid":1,"hostname":"cb713ad26136","total":2,"msg":"Attepting to create bundle for entries"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.456354351Z {"level":"DEBUG","time":1721610628456,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.601715247Z {"level":"DEBUG","time":1721610628601,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.602572740Z {"level":"DEBUG","time":1721610628601,"pid":1,"hostname":"cb713ad26136","sender":"0x2C262eeff6727E977ae86fD5B4d5C943f3D7c91E","nonce":"0x0","index":0,"msg":"adding to bundle"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.607019047Z {"level":"DEBUG","time":1721610628606,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.767739732Z {"level":"DEBUG","time":1721610628767,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.767963838Z {"level":"DEBUG","time":1721610628767,"pid":1,"hostname":"cb713ad26136","msg":"UserOperation from 0x5f96932E143AA9615dA8BaBe37769c2135616dF2 sender accessed a storage of another known sender 0x2c262eeff6727e977ae86fd5b4d5c943f3d7c91e"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.767980659Z {"level":"DEBUG","time":1721610628767,"pid":1,"hostname":"cb713ad26136","length":1,"msg":"bundle created(ready to send)"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.782790188Z {"level":"DEBUG","time":1721610628782,"pid":1,"hostname":"cb713ad26136","ret":"0xdecf7c09754c696e0de00d5a675ff495cfa2b09f1812397242a56ed6f633b7ab","length":1,"msg":"eth_sendRawTransaction ret="}
[33mbundler_1         |[0m 2024-07-22T01:10:28.792001256Z {"level":"DEBUG","time":1721610628791,"pid":1,"hostname":"cb713ad26136","lastBlock":199,"events":3,"msg":"Handling past Entrypoint events since last run"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.795961299Z {"level":"DEBUG","time":1721610628795,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_dumpMempool","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.796772081Z {"level":"DEBUG","time":1721610628796,"pid":1,"hostname":"cb713ad26136","msg":"_______________________________MEMPOOL DUMP____________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.796787951Z {"level":"DEBUG","time":1721610628796,"pid":1,"hostname":"cb713ad26136","msg":"Mempool size: 1"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.796795535Z {"level":"DEBUG","time":1721610628796,"pid":1,"hostname":"cb713ad26136","entryCount":{"0x2c262eeff6727e977ae86fd5b4d5c943f3d7c91e":1,"0x5f96932e143aa9615da8babe37769c2135616df2":1},"msg":"Mempool entryCount"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.796803039Z {"level":"DEBUG","time":1721610628796,"pid":1,"hostname":"cb713ad26136","msg":"________________________________________________________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.811521707Z {"level":"DEBUG","time":1721610628811,"pid":1,"hostname":"cb713ad26136","method":"eth_getUserOperationReceipt","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.821758536Z {"level":"DEBUG","time":1721610628821,"pid":1,"hostname":"cb713ad26136","method":"eth_getUserOperationReceipt","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.829933937Z {"level":"DEBUG","time":1721610628829,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.832331316Z {"level":"DEBUG","time":1721610628832,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_setBundlingMode","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:28.832747098Z {"level":"INFO","time":1721610628832,"pid":1,"hostname":"cb713ad26136","mode":"manual","msg":"Set bundling mode"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.269820627Z {"level":"DEBUG","time":1721610629269,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.273179485Z {"level":"DEBUG","time":1721610629269,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.273213258Z {"level":"DEBUG","time":1721610629269,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.273220221Z {"level":"DEBUG","time":1721610629270,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.404218088Z {"level":"DEBUG","time":1721610629404,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.408216202Z {"level":"DEBUG","time":1721610629408,"pid":1,"hostname":"cb713ad26136","sender":"0x8dDFF5BC22A7A61c331289578777AeC0F5eB9B62","nonce":"0x0","userOpHash":"0x38a5d9123e7b01b5753082601fdbc97eb0057058096925ef1b3075f025ae3624","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.412444923Z {"level":"DEBUG","time":1721610629412,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.415373505Z {"level":"DEBUG","time":1721610629412,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.415391408Z {"level":"DEBUG","time":1721610629412,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.415399033Z {"level":"DEBUG","time":1721610629412,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.607796227Z {"level":"DEBUG","time":1721610629607,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.611911889Z {"level":"ERROR","time":1721610629611,"pid":1,"hostname":"cb713ad26136","error":"A Paymaster at 0x8dDFF5BC22A7A61c331289578777AeC0F5eB9B62 in this UserOperation is used as a sender entity in another UserOperation currently in mempool.","msg":"Error calling method eth_sendUserOperation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.616361020Z {"level":"DEBUG","time":1721610629616,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.619401091Z {"level":"DEBUG","time":1721610629619,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.622559490Z {"level":"DEBUG","time":1721610629619,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.622578555Z {"level":"DEBUG","time":1721610629619,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.622600877Z {"level":"DEBUG","time":1721610629620,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.813708518Z {"level":"DEBUG","time":1721610629813,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.817488802Z {"level":"DEBUG","time":1721610629817,"pid":1,"hostname":"cb713ad26136","sender":"0xe3DE71E5F5E511E5C6f794d5A3fE23e7eBe06748","nonce":"0x0","userOpHash":"0x691803fde6d1012633e4d14def2f6c5aa5007d8dba0e5e2372cbce1bdcd3f50f","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.821632813Z {"level":"DEBUG","time":1721610629821,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.824774214Z {"level":"DEBUG","time":1721610629821,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.824795002Z {"level":"DEBUG","time":1721610629821,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.824802917Z {"level":"DEBUG","time":1721610629822,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.950563612Z {"level":"DEBUG","time":1721610629950,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.954050684Z {"level":"ERROR","time":1721610629953,"pid":1,"hostname":"cb713ad26136","error":"The sender address \"0x8dDFF5BC22A7A61c331289578777AeC0F5eB9B62\" is used as a different entity in another UserOperation currently in mempool","msg":"Error calling method eth_sendUserOperation"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.959527462Z {"level":"DEBUG","time":1721610629959,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.962261068Z {"level":"DEBUG","time":1721610629962,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_setBundlingMode","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:29.962633313Z {"level":"INFO","time":1721610629962,"pid":1,"hostname":"cb713ad26136","mode":"manual","msg":"Set bundling mode"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.222265643Z {"level":"DEBUG","time":1721610630221,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_getStakeStatus","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.241020472Z {"level":"DEBUG","time":1721610630240,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.243566756Z {"level":"DEBUG","time":1721610630243,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_setBundlingMode","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.243917205Z {"level":"INFO","time":1721610630243,"pid":1,"hostname":"cb713ad26136","mode":"manual","msg":"Set bundling mode"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.321744503Z {"level":"DEBUG","time":1721610630321,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.325779073Z {"level":"DEBUG","time":1721610630321,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.325848031Z {"level":"DEBUG","time":1721610630321,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.325858941Z {"level":"DEBUG","time":1721610630322,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.453017512Z {"level":"DEBUG","time":1721610630452,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.456315439Z {"level":"DEBUG","time":1721610630456,"pid":1,"hostname":"cb713ad26136","sender":"0x057b79aB57B1494C1de2900974D6df0e003842A2","nonce":"0x7b0000000000000000","userOpHash":"0x86ecb6fdddb3804c755d403b63fa009316dcb6c29e8e6a710a48e5ef3122df87","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.459798211Z {"level":"DEBUG","time":1721610630459,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_dumpMempool","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.460205431Z {"level":"DEBUG","time":1721610630459,"pid":1,"hostname":"cb713ad26136","msg":"_______________________________MEMPOOL DUMP____________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.460218746Z {"level":"DEBUG","time":1721610630459,"pid":1,"hostname":"cb713ad26136","msg":"Mempool size: 1"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.460227973Z {"level":"DEBUG","time":1721610630459,"pid":1,"hostname":"cb713ad26136","entryCount":{"0x057b79ab57b1494c1de2900974d6df0e003842a2":1},"msg":"Mempool entryCount"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.460236639Z {"level":"DEBUG","time":1721610630459,"pid":1,"hostname":"cb713ad26136","msg":"________________________________________________________________________________________"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.614297422Z {"level":"DEBUG","time":1721610630614,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.889376864Z {"level":"DEBUG","time":1721610630889,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.892965903Z {"level":"DEBUG","time":1721610630889,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.892981623Z {"level":"DEBUG","time":1721610630889,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:30.892987083Z {"level":"DEBUG","time":1721610630890,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.152044208Z {"level":"DEBUG","time":1721610631151,"pid":1,"hostname":"cb713ad26136","msg":"UserOp passed validation"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.155407576Z {"level":"DEBUG","time":1721610631155,"pid":1,"hostname":"cb713ad26136","sender":"0xAD19e072cB16C6116B11491314f7d3837f5676Bb","nonce":"0x0","userOpHash":"0x9bb521670035994115e1782c63fb87f65e2bc2a3627d3e47283363c9b01be300","status":"pending","msg":"added userOp to mempool"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.160409370Z {"level":"DEBUG","time":1721610631160,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.539980316Z {"level":"DEBUG","time":1721610631539,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.543301671Z {"level":"DEBUG","time":1721610631539,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.543318312Z {"level":"DEBUG","time":1721610631540,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.543325455Z {"level":"DEBUG","time":1721610631540,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.809489521Z {"level":"ERROR","time":1721610631809,"pid":1,"hostname":"cb713ad26136","error":"unstaked paymaster accessed paymaster slot 0x0000000000000000000000000000000000000000000000000000000000000001","msg":"Error calling method eth_sendUserOperation"}
[33mbundler_1         |[0m 2024-07-22T01:10:31.814912047Z {"level":"DEBUG","time":1721610631814,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.193786233Z {"level":"DEBUG","time":1721610632193,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.197063521Z {"level":"DEBUG","time":1721610632193,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.197082967Z {"level":"DEBUG","time":1721610632193,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.197089980Z {"level":"DEBUG","time":1721610632194,"pid":1,"hostname":"cb713ad26136","msg":"Running full validation with storage/opcode checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.470211117Z {"level":"ERROR","time":1721610632469,"pid":1,"hostname":"cb713ad26136","error":"unstaked paymaster accessed 0xe3be13e516f8e291518c975701b5de3c6d185a70 slot 0x79e3ffc3368e812a368c9d642eaf3ef2fe00ca263c3b70573f9dc8ec18ceb96a","msg":"Error calling method eth_sendUserOperation"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.475777264Z {"level":"DEBUG","time":1721610632475,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.855275105Z {"level":"DEBUG","time":1721610632855,"pid":1,"hostname":"cb713ad26136","method":"eth_sendUserOperation","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.858806259Z {"level":"DEBUG","time":1721610632855,"pid":1,"hostname":"cb713ad26136","msg":"Running checks on userOp"}
[33mbundler_1         |[0m 2024-07-22T01:10:32.858830945Z {"level":"DEBUG","time":1721610632855,"pid":1,"hostname":"cb713ad26136","msg":"Running calcPreVerificationGas on userOp"}
